item	sub_field	n_extract_literal	n_extract_parsed	n_ambiguous	n_missing	n_covered	coverage_pct
decontamination	parser_robustness_probe	0	0	98	0	0	0.0
decontamination	performed	0	98	0	0	98	100.0
group_size_schedule	adaptation_rule	0	0	98	0	0	0.0
group_size_schedule	initial_g	0	98	0	0	98	100.0
group_size_schedule	schedule	0	98	0	0	98	100.0
heldout_split	description	0	98	0	0	98	100.0
heldout_split	disjoint_from_reward_env	0	98	0	0	98	100.0
loss_form	advantage_normalization	0	98	0	0	98	100.0
loss_form	clip_eps_high	0	0	98	0	0	0.0
loss_form	clip_eps_low	0	0	98	0	0	0.0
loss_form	importance_ratio_level	0	0	98	0	0	0.0
loss_form	length_normalization	0	0	98	0	0	0.0
loss_form	token_mask	0	0	98	0	0	0.0
reference_kl	kl_beta	0	0	98	0	0	0.0
reference_kl	kl_estimator	0	0	98	0	0	0.0
reference_kl	reference_policy	0	0	98	0	0	0.0
sampler_backend	backend	0	98	0	0	98	100.0
sampler_backend	precision	0	98	0	0	98	100.0
sampler_backend	temperature	0	98	0	0	98	100.0
sampler_backend	top_p	0	0	98	0	0	0.0
telemetry	per_step_gu	0	0	98	0	0	0.0
telemetry	per_step_zvf	0	98	0	0	98	100.0
telemetry	source	0	98	0	0	98	100.0
