name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_metric
gsm8k-qwen3-0.6b	bqe71khg	failed	2026-03-24T12:38:35Z	Qwen/Qwen3-0.6B		16			6e-05	
gsm8k-qwen3-1.7b	mhjy4wd2	failed	2026-03-24T12:38:42Z	Qwen/Qwen3-1.7B		16			5e-05	
gsm8k-qwen3-4b	2e3oe0g5	failed	2026-03-24T12:38:50Z	Qwen/Qwen3-4B		16			5e-05	
gsm8k-llama3.1-8b-base	egtoggo8	failed	2026-03-24T12:38:58Z	meta-llama/Llama-3.1-8B		16			4e-05	
gsm8k-qwen3-14b	j90ayrlc	failed	2026-03-24T12:39:06Z	Qwen/Qwen3-14B		16			3e-05	
gsm8k-qwen3-30b-moe	yk5ibzt1	failed	2026-03-24T12:39:14Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-0.6b	66q4inwy	failed	2026-03-24T12:40:55Z	Qwen/Qwen3-0.6B		16			6e-05	
gsm8k-qwen3-1.7b	y969zk7q	failed	2026-03-24T12:41:03Z	Qwen/Qwen3-1.7B		16			5e-05	
gsm8k-qwen3-4b	ckc5ws5u	failed	2026-03-24T12:41:11Z	Qwen/Qwen3-4B		16			5e-05	
gsm8k-llama3.1-8b-base	0l5zf5us	failed	2026-03-24T12:41:20Z	meta-llama/Llama-3.1-8B		16			4e-05	
gsm8k-qwen3-14b	iwj89rgq	failed	2026-03-24T12:41:28Z	Qwen/Qwen3-14B		16			3e-05	
gsm8k-qwen3-30b-moe	kxul6wwv	failed	2026-03-24T12:41:37Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-14b	0bkugoil	failed	2026-03-24T12:54:06Z	Qwen/Qwen3-14B		16			3e-05	
gsm8k-qwen3-14b	28ua2omd	failed	2026-03-24T13:12:31Z	Qwen/Qwen3-14B		16			3e-05	
humaneval-qwen3-8b	0q49y25k	failed	2026-03-24T13:15:28Z	Qwen/Qwen3-8B		16	humaneval		4e-05	
tool-use-qwen3-8b	fujwilwz	failed	2026-03-24T13:15:37Z	Qwen/Qwen3-8B		16	tool_use		4e-05	
tool-use-qwen0.5b	q7kaf2i7	failed	2026-03-24T13:15:46Z	Qwen/Qwen2.5-0.5B-Instruct		16	tool_use		5e-05	
gsm8k-qwen3-30b-moe	7r4jy8rr	failed	2026-03-24T13:16:20Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-14b	gus40obh	crashed	2026-03-24T13:25:49Z	Qwen/Qwen3-14B		16			3e-05	
gsm8k-qwen3-30b-moe	qkdq84no	crashed	2026-03-24T13:26:13Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-30b-moe	izi07zuv	failed	2026-03-24T13:44:40Z	Qwen/Qwen3-30B-A3B		16			3e-05	
humaneval-qwen3-8b	nh95c6yl	failed	2026-03-24T13:48:15Z	Qwen/Qwen3-8B		16	humaneval		4e-05	
gsm8k-qwen3-30b-moe	w9xuz02h	failed	2026-03-24T13:50:32Z	Qwen/Qwen3-30B-A3B		16			3e-05	
tool-use-qwen3-8b	aexycyg4	failed	2026-03-24T13:51:01Z	Qwen/Qwen3-8B		16	tool_use		4e-05	
tool-use-qwen0.5b	aoqb52sg	failed	2026-03-24T13:51:30Z	Qwen/Qwen2.5-0.5B-Instruct		16	tool_use		5e-05	
gsm8k-qwen3-30b-moe	98nysxnj	failed	2026-03-24T13:54:24Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-30b-moe	jogtp86w	failed	2026-03-24T13:59:21Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-30b-moe	ydley7g8	failed	2026-03-24T13:59:36Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-30b-moe	9ng94s9w	failed	2026-03-24T14:09:49Z	Qwen/Qwen3-30B-A3B		16			3e-05	
gsm8k-qwen3-4b	nb0hoy1w	crashed	2026-03-24T14:10:13Z	Qwen/Qwen3-4B		16			5e-05	
gsm8k-qwen3-4b	lk0yk6aa	crashed	2026-03-24T14:10:17Z	Qwen/Qwen3-4B		16			5e-05	
