model	model_short	params_B	n_steps	sse_1seg	sse_2seg	sse_3seg	aic_1seg	aic_2seg	aic_3seg	delta_aic_3v1	delta_aic_3v2	conform_3phase_aic	spurt_largest_slope	spurt_dominant_vs_flanks	canonical_temporal_order	monotone_plateau_3seg	conform_score_out_of_4	creep_slope_abs	spurt_slope	level_slope_abs
Qwen3.5-4B	qwen3.5-4b	4.0	30	1.3901	1.167	0.853	-86.1549	-85.4038	-90.8054	-4.6505	-5.4016	True	True	True	True	False	4	0.0187	0.0781	0.0191
Qwen3-8B	qwen3-8b	8.0	30	0.8419	0.73	0.5639	-101.1978	-99.4762	-103.222	-2.0243	-3.7459	True	True	True	True	True	4	0.0231	0.1875	0.0156
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	0.7682	0.5449	0.4467	-103.9483	-108.2521	-110.2106	-6.2623	-1.9584	True	True	True	True	False	4	0.0054	-0.625	0.0115
Qwen3-32B	qwen3-32b	32.0	3	0.0058	inf	inf	-12.731	inf	inf	inf	nan	False	True	False	True	True	2	0.0	0.0	0.0
Qwen3.5-27B	qwen3.5-27b	27.0	3	0.1466	inf	inf	-3.0551	inf	inf	inf	nan	False	True	False	True	True	2	0.0	0.0	0.0
gpt-oss-20B	gpt-oss-20b	20.0	30	1.0865	0.9532	0.7781	-93.5482	-91.4729	-93.5615	-0.0133	-2.0887	False	False	True	True	True	2	0.0875	0.0875	0.017
Qwen3-30B-MoE	qwen3-30b-moe	30.0	5	0.1125	0.0417	inf	-12.9705	-11.9375	inf	inf	inf	False	True	False	True	True	2	0.0	0.0	0.0
Qwen3-30B-MoE-Inst	qwen3-30b-moe-inst	30.0	3	0.0	inf	inf	-210.2619	inf	inf	inf	nan	False	True	False	True	True	2	0.0	0.0	0.0
DeepSeek-V3.1	deepseek-v3.1	685.0	20	0.3711	0.2384	0.1474	-73.741	-76.5898	-82.2023	-8.4613	-5.6125	True	False	True	True	False	3	0.0446	0.0875	0.0875
Nemotron-120B	nemotron-120b	120.0	20	1.1954	0.7222	0.4904	-50.3451	-54.4227	-58.1653	-7.8201	-3.7425	True	False	True	True	True	3	0.4375	0.4375	0.0
Qwen3-235B-MoE	qwen3-235b-moe	235.0	4	0.0	0.0	inf	-280.7274	-275.2615	inf	inf	inf	False	True	False	True	True	2	0.0	0.0	0.0
Kimi-K2-Thinking	kimi-k2	1000.0	20	0.482	0.3374	0.254	-68.5118	-69.6471	-71.3244	-2.8126	-1.6773	True	True	True	True	False	4	0.0014	0.375	0.075
