model	params_B	arch	n_steps	cp1_point	cp2_point	cp1_frac	cp2_frac	cp1_lo	cp1_med	cp1_hi	cp2_lo	cp2_med	cp2_hi	n_boot_success
Qwen3.5-4B	4.0	dense	30	5	7	0.16666666666666666	0.23333333333333334	2	10	24	5	19	28	2000
Qwen3-8B	8.0	dense	30	15	18	0.5	0.6	2	11	25	5	19	28	2000
Llama-3.1-8B-Instruct	8.0	dense	30	15	24	0.5	0.8	2	11	25	5	19	28	2000
Qwen3-32B	32.0	dense	3	1	2	0.3333333333333333	0.6666666666666666	-1	-1	-1	-1	-1	-1	
Qwen3.5-27B	27.0	dense	3	1	2	0.3333333333333333	0.6666666666666666	-1	-1	-1	-1	-1	-1	
gpt-oss-20B	20.0	moe	30	21	24	0.7	0.8	2	12	24	5	18	28	2000
Qwen3-30B-MoE	30.0	moe	5	1	3	0.2	0.6	-1	-1	-1	-1	-1	-1	
Qwen3-30B-MoE-Inst	30.0	moe	3	1	2	0.3333333333333333	0.6666666666666666	-1	-1	-1	-1	-1	-1	
DeepSeek-V3.1	685.0	moe	20	11	15	0.55	0.75	2	7	15	4	13	18	2000
Nemotron-120B	120.0	dense	20	9	18	0.45	0.9	2	7	15	4	13	18	2000
Qwen3-235B-MoE	235.0	moe	4	1	2	0.25	0.5	-1	-1	-1	-1	-1	-1	
Kimi-K2-Thinking	1000.0	moe	20	13	16	0.65	0.8	2	7	15	4	13	18	2000
