model	params_B	family	fraction	t_X_steps	peak	t_X_reached
Qwen3.5-4B	4.0	dense	0.5	1	1.0	1
Qwen3.5-4B	4.0	dense	0.7	1	1.0	1
Qwen3.5-4B	4.0	dense	0.8	1	1.0	1
Qwen3.5-4B	4.0	dense	0.9	1	1.0	1
Qwen3-8B	8.0	dense	0.5	1	0.625	1
Qwen3-8B	8.0	dense	0.7	3	0.625	1
Qwen3-8B	8.0	dense	0.8	3	0.625	1
Qwen3-8B	8.0	dense	0.9	3	0.625	1
Llama-3.1-8B-Instruct	8.0	dense	0.5	1	1.0	1
Llama-3.1-8B-Instruct	8.0	dense	0.7	1	1.0	1
Llama-3.1-8B-Instruct	8.0	dense	0.8	1	1.0	1
Llama-3.1-8B-Instruct	8.0	dense	0.9	1	1.0	1
Qwen3-32B	32.0	dense	0.5	1	0.312	1
Qwen3-32B	32.0	dense	0.7	1	0.312	1
Qwen3-32B	32.0	dense	0.8	1	0.312	1
Qwen3-32B	32.0	dense	0.9	1	0.312	1
Qwen3.5-27B	27.0	dense	0.5	1	0.75	1
Qwen3.5-27B	27.0	dense	0.7	1	0.75	1
Qwen3.5-27B	27.0	dense	0.8	2	0.75	1
Qwen3.5-27B	27.0	dense	0.9	2	0.75	1
gpt-oss-20B	20.0	moe	0.5	1	1.0	1
gpt-oss-20B	20.0	moe	0.7	2	1.0	1
gpt-oss-20B	20.0	moe	0.8	2	1.0	1
gpt-oss-20B	20.0	moe	0.9	3	1.0	1
Qwen3-30B-MoE	30.0	moe	0.5	2	0.5	1
Qwen3-30B-MoE	30.0	moe	0.7	2	0.5	1
Qwen3-30B-MoE	30.0	moe	0.8	2	0.5	1
Qwen3-30B-MoE	30.0	moe	0.9	4	0.5	1
Qwen3-30B-MoE-Inst	30.0	moe	0.5	1	1.0	1
Qwen3-30B-MoE-Inst	30.0	moe	0.7	1	1.0	1
Qwen3-30B-MoE-Inst	30.0	moe	0.8	1	1.0	1
Qwen3-30B-MoE-Inst	30.0	moe	0.9	1	1.0	1
DeepSeek-V3.1	685.0	moe	0.5	1	1.0	1
DeepSeek-V3.1	685.0	moe	0.7	1	1.0	1
DeepSeek-V3.1	685.0	moe	0.8	1	1.0	1
DeepSeek-V3.1	685.0	moe	0.9	3	1.0	1
Nemotron-120B	120.0	dense	0.5	3	0.875	1
Nemotron-120B	120.0	dense	0.7	3	0.875	1
Nemotron-120B	120.0	dense	0.8	3	0.875	1
Nemotron-120B	120.0	dense	0.9	3	0.875	1
Qwen3-235B-MoE	235.0	moe	0.5	1	1.0	1
Qwen3-235B-MoE	235.0	moe	0.7	1	1.0	1
Qwen3-235B-MoE	235.0	moe	0.8	1	1.0	1
Qwen3-235B-MoE	235.0	moe	0.9	1	1.0	1
Kimi-K2-Thinking	1000.0	moe	0.5	1	1.0	1
Kimi-K2-Thinking	1000.0	moe	0.7	1	1.0	1
Kimi-K2-Thinking	1000.0	moe	0.8	1	1.0	1
Kimi-K2-Thinking	1000.0	moe	0.9	1	1.0	1
