cell_id	corpus	model_id	task_slice	G	temperature	seed	item1_loss	item2_kl	item3_backend	item4_zvf	item5_G	item6_heldout	item7_decontam	badge	tier
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	2	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	2	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	32	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	32	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	32	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	32	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	4	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	manifests	Qwen-Qwen3-5-4B	gsm8k_easy	4	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	16	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	16	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	16	1.0	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	16	1.0	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	2	0.6	0	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	manifests	Qwen-Qwen3-5-4B	gsm8k_hard	2	0.6	1	2.5	2.5	13.33	10.0	7.5	7.5	13.33	56.7	bronze
