model	params_B	arch	n	alpha	spec_intercept	n_pos_freq	dy_var
Qwen3.5-4B	4.0	dense	30	-0.18380986007946298	-1.6370439819684663	30	0.10560344827586207
Qwen3-8B	8.0	dense	30	-0.22144112966592971	-1.9328939340001483	30	0.07525453329369797
Llama-3.1-8B-Instruct	8.0	dense	30	0.14595906509514817	-2.2524982720947517	30	0.055765086206896554
Qwen3-32B	32.0	dense	3	nan	nan	0	0.00874225
Qwen3.5-27B	27.0	dense	3	nan	nan	0	0.21996099999999996
gpt-oss-20B	20.0	moe	30	-0.8111750947188371	-1.5646287635762843	30	0.09546856420927469
Qwen3-30B-MoE	30.0	moe	5	-2.970296570777839	-0.672015937089564	6	0.09598475
Qwen3-30B-MoE-Inst	30.0	moe	3	nan	nan	0	0.0
DeepSeek-V3.1	685.0	moe	20	0.21719520488473512	-2.6805198153244527	30	0.04189750692520775
Nemotron-120B	120.0	dense	20	-0.021002275620924132	-1.8335192762130943	30	0.12101800554016622
Qwen3-235B-MoE	235.0	moe	4	3.184554295427316	-34.22251776740277	5	0.0
Kimi-K2-Thinking	1000.0	moe	20	-0.36126946121226516	-2.16410794953581	30	0.06890581717451523
