name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_reward
c0000	n7l4blh5	finished	2026-06-07T05:52:37Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0001	k3j46k6z	finished	2026-06-07T05:52:39Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0.015625
c0002	p99vasew	finished	2026-06-07T05:52:40Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.9375
c0003	0dzxhg0l	finished	2026-06-07T05:52:42Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0
c0053	78t98wqf	finished	2026-06-07T05:52:43Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.875
c0055	7aihoab1	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-1B		8	llama3	5	5e-05	0
c0048	85m75xxx	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0051	edr7vpjn	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0.03125
c0054	pchcblrj	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0.015625
c0049	pgnilb5s	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0052	sk29x7q0	finished	2026-06-07T05:52:43Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0050	zvxgci4s	finished	2026-06-07T05:52:43Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.96875
c0004	qk4x68rt	finished	2026-06-07T05:52:44Z	meta-llama/Llama-3.2-1B		4	llama3	5	5e-05	0
c0005	ammkwqia	finished	2026-06-07T05:52:46Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.875
c0006	nqhk37zd	finished	2026-06-07T05:52:48Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0
c0007	ot46tlre	finished	2026-06-07T05:52:50Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0008	c66oozvz	finished	2026-06-07T05:52:51Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.71875
c0009	7gk9bio0	finished	2026-06-07T05:52:53Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0.03125
c0010	rckapt6p	finished	2026-06-07T05:52:54Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0.015625
c0011	83q8og6p	finished	2026-06-07T05:52:56Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.96875
c0012	nyh8lqez	finished	2026-06-07T05:52:58Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0.015625
c0013	od3thnnv	finished	2026-06-07T05:52:59Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0.0625
c0014	tipbq188	finished	2026-06-07T05:53:01Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.96875
c0015	c69j3akf	finished	2026-06-07T05:53:03Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0
c0016	xucdybec	finished	2026-06-07T05:53:04Z	meta-llama/Llama-3.2-1B		8	llama3	5	0.0001	0
c0017	lq4g7s9x	finished	2026-06-07T05:53:06Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	5e-05	1
c0018	w9a7er77	finished	2026-06-07T05:53:08Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0
c0019	ak18gv5h	finished	2026-06-07T05:53:09Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0020	2gny03x7	finished	2026-06-07T05:53:11Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.875
c0021	ex5woyns	finished	2026-06-07T05:53:13Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0
c0022	xrtkb7u8	finished	2026-06-07T05:53:14Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0023	me6jzgx0	finished	2026-06-07T05:53:16Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.8125
c0024	yzyhmdxf	finished	2026-06-07T05:53:18Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0.015625
c0025	6z2osmby	finished	2026-06-07T05:53:19Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0.03125
c0026	f0g2bcyf	finished	2026-06-07T05:53:21Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	0.6875
c0027	t0yt81ov	finished	2026-06-07T05:53:23Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0.03125
c0028	s051nx9v	finished	2026-06-07T05:53:24Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0.03125
c0029	857gk0qs	finished	2026-06-07T05:53:26Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	1
c0030	eq3pxfgx	finished	2026-06-07T05:53:27Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0
c0031	9af6ckcv	finished	2026-06-07T05:53:29Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0032	a2mq8dgt	finished	2026-06-07T05:53:30Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.875
c0033	37e12c3n	finished	2026-06-07T05:53:32Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0034	f4mlcuim	finished	2026-06-07T05:53:33Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0035	7y0ih1yu	finished	2026-06-07T05:53:35Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.875
c0036	2rv2l3sz	finished	2026-06-07T05:53:36Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0
c0037	ixetk8bd	finished	2026-06-07T05:53:38Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0
c0038	6upnxn8t	finished	2026-06-07T05:53:39Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.890625
c0039	6nn1peph	finished	2026-06-07T05:53:41Z	meta-llama/Llama-3.2-3B		8	llama3	5	5e-05	0
c0056	khz04m6p	finished	2026-06-07T05:53:43Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.78125
c0040	ksxiyce2	finished	2026-06-07T05:53:43Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0041	x0u26ru3	finished	2026-06-07T05:53:45Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.96875
c0042	zc6rnuan	finished	2026-06-07T05:53:47Z	meta-llama/Llama-3.2-3B		4	llama3	5	1e-05	0
c0057	g27addt8	finished	2026-06-07T05:53:48Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0.03125
c0043	r0hapkng	finished	2026-06-07T05:53:48Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
c0058	29po0vms	finished	2026-06-07T05:53:49Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
c0059	ofd2cey6	finished	2026-06-07T05:53:50Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	0.9375
c0044	vznxm88g	finished	2026-06-07T05:53:50Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	5	0.0001	0.84375
c0045	alpkdu0y	finished	2026-06-07T05:53:51Z	meta-llama/Llama-3.2-3B		4	llama3	5	5e-05	0
c0046	m39mw5p9	finished	2026-06-07T05:53:53Z	meta-llama/Llama-3.2-1B		4	llama3	5	1e-05	0
c0047	ij11371m	finished	2026-06-07T05:53:54Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	1
pilot01	62x5opmd	finished	2026-06-07T05:53:56Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	3	0.0001	1
c0060	nr6xlklq	finished	2026-06-07T05:53:57Z	meta-llama/Llama-3.2-3B		4	llama3	5	0.0001	0
r0000	w1ygw7ry	finished	2026-06-07T05:53:57Z	Qwen/Qwen3-8B		4	qwen3_instruct	12	5e-05	0.515625
c0061	5i9arh71	finished	2026-06-07T05:53:58Z	meta-llama/Llama-3.2-1B		8	llama3	5	1e-05	0.015625
c0062	ar0um9le	finished	2026-06-07T05:53:59Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	5e-05	1
r0001	lbf1iypn	finished	2026-06-07T05:53:59Z	meta-llama/Llama-3.2-3B		8	llama3	12	1e-05	0
c0063	gqygdiio	finished	2026-06-07T05:54:01Z	meta-llama/Llama-3.2-3B		8	llama3	5	1e-05	0.015625
r0002	vrdk4352	finished	2026-06-07T05:54:01Z	openai/gpt-oss-20b		16	gpt_oss_low_reasoning	12	5e-05	0.93359375
r0003	7td5iscx	finished	2026-06-07T05:54:02Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		16	nemotron3_disable_thinking	12	5e-05	0.9140625
r0004	bonnsueg	finished	2026-06-07T05:54:04Z	Qwen/Qwen3-30B-A3B-Instruct-2507		4	qwen3_instruct	12	5e-05	0.9375
r0005	v8gjgfhz	finished	2026-06-07T05:54:06Z	Qwen/Qwen3-32B		4	qwen3_instruct	12	1e-05	0.34375
r0006	qm3ifsss	finished	2026-06-07T05:54:07Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	12	5e-05	0.92578125
r0007	z9gfnebg	finished	2026-06-07T05:54:08Z	meta-llama/Llama-3.1-8B-Instruct		4	llama3	12	5e-05	0.859375
r0008	hriydc1g	finished	2026-06-07T05:54:10Z	Qwen/Qwen3-8B		4	qwen3_instruct	12	5e-05	0.5
r0009	5ybui1qq	finished	2026-06-07T05:54:12Z	meta-llama/Llama-3.2-3B		16	llama3	12	1e-05	0.01171875
r0010	2qajqu8m	finished	2026-06-07T05:54:13Z	openai/gpt-oss-20b		16	gpt_oss_low_reasoning	12	1e-05	0.87890625
r0011	lv9uw3tw	finished	2026-06-07T05:54:15Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		4	nemotron3_disable_thinking	12	5e-05	0.8125
r0012	ayc55u41	finished	2026-06-07T05:54:17Z	Qwen/Qwen3-30B-A3B-Instruct-2507		16	qwen3_instruct	12	0.0001	0.96875
r0013	vuuthtvf	finished	2026-06-07T05:54:19Z	Qwen/Qwen3-32B		4	qwen3_instruct	12	0.0001	0.453125
r0014	w4cup43y	finished	2026-06-07T05:54:21Z	Qwen/Qwen3-4B-Instruct-2507		8	qwen3_instruct	12	0.0001	0.9765625
r0015	q317bvxq	finished	2026-06-07T05:54:22Z	meta-llama/Llama-3.1-8B-Instruct		4	llama3	12	5e-05	0.890625
r0016	rhttqcpw	finished	2026-06-07T05:54:23Z	Qwen/Qwen3-8B		16	qwen3_instruct	12	1e-05	0.265625
r0017	1nhe5hcm	finished	2026-06-07T05:54:25Z	meta-llama/Llama-3.2-3B		4	llama3	12	5e-05	0.03125
r0018	0yhr3yhs	finished	2026-06-07T05:54:26Z	openai/gpt-oss-20b		4	gpt_oss_low_reasoning	12	0.0001	0.9140625
r0019	taum7kox	finished	2026-06-07T05:54:28Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		4	nemotron3_disable_thinking	12	5e-05	0.953125
r0020	7l1zfe85	finished	2026-06-07T05:54:31Z	Qwen/Qwen3-30B-A3B-Instruct-2507		16	qwen3_instruct	12	0.0001	0.765625
r0021	n484z7kx	finished	2026-06-07T05:54:33Z	Qwen/Qwen3-32B		8	qwen3_instruct	12	0.0001	0.72265625
r0022	5falx38b	finished	2026-06-07T05:54:34Z	Qwen/Qwen3-4B-Instruct-2507		16	qwen3_instruct	12	5e-05	0.79296875
r0023	gszwbwlk	finished	2026-06-07T05:54:36Z	meta-llama/Llama-3.1-8B-Instruct		4	llama3	12	1e-05	0.765625
r0024	5ckeq7c1	finished	2026-06-07T05:54:38Z	Qwen/Qwen3-8B		8	qwen3_instruct	12	0.0001	0.72265625
r0025	ue6slspb	finished	2026-06-07T05:54:39Z	meta-llama/Llama-3.2-3B		8	llama3	12	1e-05	0.0078125
r0026	f99qr9m7	finished	2026-06-07T05:54:40Z	openai/gpt-oss-20b		8	gpt_oss_low_reasoning	12	5e-05	0.9453125
r0027	dp6r2l19	finished	2026-06-07T05:54:42Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		4	nemotron3_disable_thinking	12	1e-05	0.765625
r0028	ov4tevce	finished	2026-06-07T05:54:44Z	Qwen/Qwen3-30B-A3B-Instruct-2507		16	qwen3_instruct	12	1e-05	0.99609375
r0029	4xd1mnkz	finished	2026-06-07T05:54:46Z	Qwen/Qwen3-32B		8	qwen3_instruct	12	1e-05	0.203125
r0030	3jlb4ts9	finished	2026-06-07T05:54:47Z	Qwen/Qwen3-4B-Instruct-2507		16	qwen3_instruct	12	1e-05	0.984375
r0031	evtzbu70	finished	2026-06-07T05:54:49Z	meta-llama/Llama-3.1-8B-Instruct		8	llama3	12	1e-05	0.828125
r0032	yomrzmdr	finished	2026-06-07T05:54:50Z	Qwen/Qwen3-8B		16	qwen3_instruct	12	0.0001	0.8125
c0064	tyslierm	finished	2026-06-07T05:54:51Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0.0625
r0033	4vj5egmj	finished	2026-06-07T05:54:52Z	meta-llama/Llama-3.2-3B		16	llama3	12	5e-05	0.0078125
r0034	umiww08z	finished	2026-06-07T05:54:53Z	openai/gpt-oss-20b		4	gpt_oss_low_reasoning	12	0.0001	0.859375
c0065	2fvwfokh	finished	2026-06-07T05:54:55Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	1e-05	0.78125
r0035	lqqz3pwa	finished	2026-06-07T05:54:55Z	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16		4	nemotron3_disable_thinking	12	1e-05	0.625
r0036	5haw6rut	finished	2026-06-07T05:54:57Z	Qwen/Qwen3-30B-A3B-Instruct-2507		4	qwen3_instruct	12	0.0001	1
c0066	jxos2587	finished	2026-06-07T05:54:58Z	meta-llama/Llama-3.2-3B		8	llama3	5	0.0001	0
r0037	m2zt8jum	finished	2026-06-07T05:54:58Z	Qwen/Qwen3-32B		16	qwen3_instruct	12	1e-05	0.20703125
c0067	31ibkrn0	finished	2026-06-07T05:54:59Z	meta-llama/Llama-3.2-1B		4	llama3	5	0.0001	0
r0038	vu1jx8ue	finished	2026-06-07T05:55:00Z	Qwen/Qwen3-4B-Instruct-2507		16	qwen3_instruct	12	1e-05	0.80078125
r0039	0eqc3g11	finished	2026-06-07T05:55:01Z	meta-llama/Llama-3.1-8B-Instruct		16	llama3	12	5e-05	0.84765625
val_go20	jo455p39	finished	2026-06-07T05:55:03Z	openai/gpt-oss-20b		6	gpt_oss_low_reasoning	2	0.0001	0.8888888888888888
val_l1	gn6dp8ck	finished	2026-06-07T05:55:05Z	meta-llama/Llama-3.2-1B		6	llama3	3	0.0001	0.020833333333333332
val_l3	ty8qtaci	finished	2026-06-07T05:55:06Z	meta-llama/Llama-3.2-3B		6	llama3	2	0.0001	0
c0068	o38wjmjf	finished	2026-06-07T05:55:07Z	Qwen/Qwen3-4B-Instruct-2507		4	qwen3_instruct	5	0.0001	0.71875
