model	params_B	arch	n_steps	p_zero	p_one	zvf_proxy	p_extreme	p_mid	mean_r	var_r	zvf_per_step_mean	zvf_per_step_max	gu_per_step_mean	has_step_zvf
Qwen3.5-4B	4.0	dense	30	0.0	0.43333333333333335	0.43333333333333335	0.43333333333333335	0.5666666666666667	0.8166666666666667	0.0479346264367816	0.43333333333333335	1.0	0.5666666666666667	True
Qwen3-8B	8.0	dense	30	0.06666666666666667	0.0	0.06666666666666667	0.06666666666666667	0.9333333333333333	0.28541666666666665	0.02981770833333334	0.06666666666666667	1.0	0.9333333333333333	True
Llama-3.1-8B-Instruct	8.0	dense	30	0.0	0.43333333333333335	0.43333333333333335	0.43333333333333335	0.5666666666666667	0.86875	0.02757273706896551	0.43333333333333335	1.0	0.5666666666666667	True
Qwen3-32B	32.0	dense	3	0.0	0.0	0.0	0.0	1.0	0.24966666666666668	0.011656333333333333	nan	nan	nan	False
Qwen3.5-27B	27.0	dense	3	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.43733333333333335	0.15228133333333332	nan	nan	nan	False
gpt-oss-20B	20.0	moe	30	0.0	0.43333333333333335	0.43333333333333335	0.43333333333333335	0.5666666666666667	0.8395833333333333	0.03843839798850575	0.43333333333333335	1.0	0.5666666666666667	True
Qwen3-30B-MoE	30.0	moe	5	0.0	0.0	0.0	0.0	1.0	0.3252	0.03602520000000001	nan	nan	nan	False
Qwen3-30B-MoE-Inst	30.0	moe	3	0.0	1.0	1.0	1.0	0.0	1.0	0.0	nan	nan	nan	False
DeepSeek-V3.1	685.0	moe	20	0.0	0.3	0.3	0.3	0.7	0.84375	0.01953125	0.3	1.0	0.7	True
Nemotron-120B	120.0	dense	20	0.55	0.0	0.55	0.55	0.45	0.175	0.06315789473684211	0.55	1.0	0.45	True
Qwen3-235B-MoE	235.0	moe	4	0.0	1.0	1.0	1.0	0.0	1.0	0.0	nan	nan	nan	False
Kimi-K2-Thinking	1000.0	moe	20	0.0	0.4	0.4	0.4	0.6	0.85	0.030592105263157896	0.4	1.0	0.6	True
