delta_id	expected_total	measured_total	supports	supports_ns	contradicts	neutral	unclaimed	unmeasurable	n_aligned
delta_adaptiveg	2	2	0	0	0	0	0	2	0
delta_aero.amendment.json	0	0	0	0	0	0	0	0	0
delta_aero	3	6	2	1	0	0	0	0	3
delta_areal.amendment.json	0	0	0	0	0	0	0	0	0
delta_areal	3	6	2	1	0	0	0	0	3
delta_cppo	1	3	1	0	0	0	0	0	1
delta_dapo	3	0	0	0	0	0	0	3	0
delta_drgrpo	3	3	0	0	0	0	0	3	0
delta_es	1	3	1	0	0	0	0	0	1
delta_gift	3	6	2	1	0	0	0	0	3
delta_gspo	3	0	0	0	0	0	0	3	0
delta_liteppo	0	0	0	0	0	0	0	0	0
delta_mcgrpo	1	3	1	0	0	0	0	0	1
delta_ngrpo	1	3	1	0	0	0	0	0	1
delta_ppo	3	0	0	0	0	0	0	3	0
delta_ppo_reinforce	3	0	0	0	0	0	0	3	0
delta_reinforce	0	0	0	0	0	0	0	0	0
delta_scafgrpo	1	3	1	0	0	0	0	0	1
delta_tool_use_llama-8b-inst	0	1	0	0	0	0	0	0	0
delta_tool_use_qwen3-32b	0	1	0	0	0	0	0	0	0
