model	params_B	arch	n_steps	lam_full	rmax_full	t80_full	s0_full	max_dlam_rel	max_drmax_rel	max_ds0_rel	n_truncations_ok	verdict
Qwen3.5-4B	4.0	dense	30	5.0	0.816849	0.3219	4.084243	0.0	0.0032	0.0032	3	stable
Qwen3-8B	8.0	dense	30	0.607136	0.295931	2.6509	0.17967	1.7776	0.1394	1.3905	2	unstable
Llama-3.1-8B-Instruct	8.0	dense	30	5.0	0.868971	0.3219	4.344853	0.0	0.035	0.035	3	stable
Qwen3-32B	32.0	dense	3	nan	nan	nan	nan	nan	nan	nan	0	degenerate
Qwen3.5-27B	27.0	dense	3	nan	nan	nan	nan	nan	nan	nan	0	degenerate
gpt-oss-20B	20.0	moe	30	2.785081	0.841439	0.5779	2.343476	0.4441	0.0384	0.3887	3	stable
Qwen3-30B-MoE	30.0	moe	5	3.286144	0.327754	0.4898	1.077045	0.0188	0.0025	0.0163	3	stable
Qwen3-30B-MoE-Inst	30.0	moe	3	nan	nan	nan	nan	nan	nan	nan	0	degenerate
DeepSeek-V3.1	685.0	moe	20	5.0	0.843843	0.3219	4.219213	0.3742	0.0431	0.3473	3	stable
Nemotron-120B	120.0	dense	20	0.010492	2.0	153.4007	0.020983	27.5932	1.0	1.0	1	unstable
Qwen3-235B-MoE	235.0	moe	4	5.0	1.00169	0.3219	5.008451	0.0	0.0	0.0	3	stable
Kimi-K2-Thinking	1000.0	moe	20	5.0	0.85026	0.3219	4.2513	0.0	0.0574	0.0574	3	stable
