claim_id	source_corpus	field
C01_eta2_prompt_n2	n2	prompt_idx
C01_eta2_prompt_n2	n2	method
C01_eta2_prompt_n2	n2	step
C01_eta2_prompt_n2	n2	reward_mean
C02_eta2_step_n2	n2	step
C02_eta2_step_n2	n2	method
C02_eta2_step_n2	n2	prompt_idx
C02_eta2_step_n2	n2	reward_mean
C03_eta2_method_n2	n2	method
C03_eta2_method_n2	n2	step
C03_eta2_method_n2	n2	prompt_idx
C03_eta2_method_n2	n2	reward_mean
C04_eta2_seed_zvf_n10	n10	seed
C04_eta2_seed_zvf_n10	n10	step_band
C04_eta2_seed_zvf_n10	n10	zvf
C05_eta2_band_zvf_n10	n10	step_band
C05_eta2_band_zvf_n10	n10	seed
C05_eta2_band_zvf_n10	n10	zvf
C06_R_band_over_seed_reward_n10	n10	step_band
C06_R_band_over_seed_reward_n10	n10	seed
C06_R_band_over_seed_reward_n10	n10	reward_mean
C07_R_stack_over_algo_zvf_mega	mega	stack_axis
C07_R_stack_over_algo_zvf_mega	mega	algo_axis
C07_R_stack_over_algo_zvf_mega	mega	zvf
C08_R_stack_over_algo_pcd_mega	mega	stack_axis
C08_R_stack_over_algo_pcd_mega	mega	algo_axis
C08_R_stack_over_algo_pcd_mega	mega	pcd
C09_field_coverage_mega	mega	cell_id
C09_field_coverage_mega	mega	model
C09_field_coverage_mega	mega	task_slice
C09_field_coverage_mega	mega	G
C09_field_coverage_mega	mega	temperature
C09_field_coverage_mega	mega	seed
C09_field_coverage_mega	mega	zvf
C10_recovery_rate_mega	mega	cell_id
C10_recovery_rate_mega	mega	zvf
C10_recovery_rate_mega	mega	pcd
C10_recovery_rate_mega	mega	mean_completion_len
C11_ambiguous_fields_mega	mega	cell_id
C11_ambiguous_fields_mega	mega	manifest_path
C12_value_correct_mega	mega	cell_id
C12_value_correct_mega	mega	tensor_path
C12_value_correct_mega	mega	manifest_path
C12_value_correct_mega	mega	zvf
C13_eta2_loss_n2	n2	method
C13_eta2_loss_n2	n2	step
C13_eta2_loss_n2	n2	loss
C14_eta2_zvf_n2	n2	method
C14_eta2_zvf_n2	n2	step
C14_eta2_zvf_n2	n2	zvf
C15_recoverable_mega	mega	cell_id
C15_recoverable_mega	mega	manifest_path
C16_recoverable_n2	n2	reward_mean
C16_recoverable_n2	n2	zvf
C16_recoverable_n2	n2	prompt_idx
C17_recoverable_n10	n10	seed
C17_recoverable_n10	n10	step_band
C17_recoverable_n10	n10	zvf
C18_manifest_xref_mega	mega	cell_id
C18_manifest_xref_mega	mega	manifest_path
C18_manifest_xref_mega	mega	tensor_path
C19_p5_cite_formed	bib	cite_key
C20_v24_bib	bib	cite_key
C21_v24_manifest	mega	cell_id
C21_v24_manifest	mega	manifest_path
C22_v24_cells	mega	cell_id
C22_v24_cells	mega	tensor_path
C22_v24_cells	mega	manifest_path
