cell_id	match_model_vendor	match_task	match_G	match_temp	match_seed	match_zvf_path_basename	cells_model_family	cells_task_slice	cells_G	cells_temperature	cells_seed	manifest_model	manifest_task	manifest_G	manifest_temp	manifest_seed
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.6	0	Qwen-Qwen3-5-4B	gsm8k_easy	2	0.6	0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.6	1	Qwen-Qwen3-5-4B	gsm8k_easy	2	0.6	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	2	1.0	0	Qwen-Qwen3-5-4B	gsm8k_easy	2	1	0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	2	1.0	1	Qwen-Qwen3-5-4B	gsm8k_easy	2	1	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.6	0	Qwen-Qwen3-5-4B	gsm8k_easy	32	0.6	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.6	1	Qwen-Qwen3-5-4B	gsm8k_easy	32	0.6	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	32	1.0	0	Qwen-Qwen3-5-4B	gsm8k_easy	32	1	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	32	1.0	1	Qwen-Qwen3-5-4B	gsm8k_easy	32	1	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.6	0	Qwen-Qwen3-5-4B	gsm8k_easy	4	0.6	0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.6	1	Qwen-Qwen3-5-4B	gsm8k_easy	4	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.6	0	Qwen-Qwen3-5-4B	gsm8k_hard	16	0.6	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.6	1	Qwen-Qwen3-5-4B	gsm8k_hard	16	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	16	1.0	0	Qwen-Qwen3-5-4B	gsm8k_hard	16	1	0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	16	1.0	1	Qwen-Qwen3-5-4B	gsm8k_hard	16	1	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.6	0	Qwen-Qwen3-5-4B	gsm8k_hard	2	0.6	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.6	1	Qwen-Qwen3-5-4B	gsm8k_hard	2	0.6	1
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	2	1.0	0	Qwen-Qwen3-5-4B	gsm8k_hard	2	1	0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	2	1.0	1	Qwen-Qwen3-5-4B	gsm8k_hard	2	1	1
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	1	1	1	1	1	1	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.6	0	Qwen-Qwen3-5-4B	gsm8k_hard	32	0.6	0
