set	model	params_B	arch	n_steps	phase_heuristic	phase_changepoint	phase_aic
5anchor	Qwen3.5-4B	4.0	dense	30	plateau	saturation	plateau
5anchor	Qwen3-8B	8.0	dense	30	plateau	plateau	plateau
5anchor	Llama-3.1-8B-Instruct	8.0	dense	30	plateau	drift	plateau
5anchor	DeepSeek-V3.1	685.0	MoE	20	plateau	drift	plateau
5anchor	Nemotron-120B	120.0	dense	20	plateau	saturation	plateau
12anchor	Qwen3.5-4B	4.0	dense	30	plateau	saturation	plateau
12anchor	Qwen3-8B	8.0	dense	30	plateau	plateau	plateau
12anchor	Llama-3.1-8B-Instruct	8.0	dense	30	plateau	drift	plateau
12anchor	DeepSeek-V3.1	685.0	MoE	20	plateau	drift	plateau
12anchor	Nemotron-120B	120.0	dense	20	plateau	saturation	plateau
12anchor	Qwen3.5-27B	27.0	dense	3	drift	plateau	plateau
12anchor	Qwen3-32B	32.0	dense	3	plateau	plateau	plateau
12anchor	Qwen3-30B-MoE	30.0	MoE	5	plateau	plateau	plateau
12anchor	Qwen3-30B-MoE-Inst	30.0	MoE	3	plateau	plateau	plateau
12anchor	Qwen3-235B	235.0	MoE	4	plateau	plateau	plateau
12anchor	Kimi-K2-Thinking	1000.0	MoE	20	drift	collapse	drift
12anchor	GPT-OSS-20B	20.0	MoE	30	plateau	plateau	plateau
