anchor	params_B	arch	n_steps	k50	k80	best_r2_sat	best_r2_const	k_best_sat	delta_sat_const
Qwen3.5-4B	4.0	dense	30			-3.194336896217287e-05	-0.0007698229407235857	17.0	0.0007378795717614128
Qwen3-8B	8.0	dense	30			-5.084738025296076e-06	-0.0033333333333334103	7.0	0.0033282485953081142
Llama-3.1-8B-Instruct	8.0	dense	30			-0.0018037926759322254	-0.03495145631067942	23.0	0.03314766363474719
Qwen3-32B	32.0	dense	3			nan	nan	nan	nan
Qwen3.5-27B	27.0	dense	3			nan	nan	nan	nan
gpt-oss-20B	20.0	moe	30			-0.00014203970774695485	-0.0410256410256411	11.0	0.04088360131789415
Qwen3-30B-MoE	30.0	moe	5			nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	moe	3			nan	nan	nan	nan
DeepSeek-V3.1	685.0	moe	20			-3.583680019403346e-10	-0.004926108374384119	12.0	0.0049261080160161175
Nemotron-120B	120.0	dense	20			-0.0006546910127542827	-0.04166666666666652	13.0	0.041011975653912236
Qwen3-235B-MoE	235.0	moe	4			nan	nan	nan	nan
Kimi-K2-Thinking	1000.0	moe	20			-0.24244185238407923	-0.08503401360544216	10.0	-0.15740783877863707
