id	pages	verdict	publication_unit	main_blocker
P01	45	PARK_OR_THESIS	scaling_identifiability_note	single_seed_confounded_frontier_anchors
P02	45	MERGE	r02_or_flagship_appendix	descriptive_identity_not_predictive_or_causal
P03	25	MERGE	r02_or_thesis	g32_reconstructed_and_g4_proxy_only
P04	45	PARK	bounded_negative_note	cap_and_short_horizon_miss_target_pathology
P05	80	MERGE	reporting_registry_resource	confounded_17x_exhibit_and_no_external_adoption
P06	65	MERGE	reporting_registry_resource	no_external_entries_reliability_or_user_evaluation
P07	81	PARK	future_controller_experiment	no_prospective_matched_cost_advantage
P08	94	SEPARATE_AND_PARK	fraud_project	synthetic_data_and_noncomparable_test_splits
R01	11	RETIRE	none	apples_to_oranges_library_comparison
R02	25	KEEP_AFTER_CUT	workshop_stratification_note	retrospective_descriptive_result_only
R03	17	MERGE	r04_artifact_documentation	high_text_and_contribution_overlap
R04	36	ARTIFACT_CANDIDATE	benchmark_artifact	public_anonymous_clean_machine_release_not_verified
R05	13	MERGE	theory_appendix	conditional_results_written_too_broadly
R06	14	MERGE	reporting_registry_resource	p05_derivative_without_new_evidence
R07	13	MERGE	p06_resource_statement	registry_derivative_without_independent_evidence
R08	8	KEEP_BOUNDED	reproducibility_audit	one_model_task_stack_short_horizon_and_low_power
U01	239	ARCHIVE	internal_compendium	multiple_questions_and_heavy_source_reuse
N01	12	PARK	prospective_methods_note	no_ppo_sao_outcomes_or_controller_test
