cell_id	item_no	item_name	key	present	validated	severity	value	note	sub_ratio_level	sub_clip_range	sub_advantage_normalization	sub_dynamic_sampling	sub_token_mask	sub_ref_snapshot	sub_kl_coefficient	sub_kl_estimator	sub_backend	sub_precision	sub_decoding_params	sub_contamination_check	sub_parser_probe
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=2	fixed-G=2													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	4	Per-step ZVF/GU trajectory	per_step_zvf_path	1	1	ok	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c.json	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c.json													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	5	Group-size schedule	group_size_schedule	1	1	ok	fixed-G=32	fixed-G=32													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	6	Held-out split	heldout_split	1	1	ok	gsm8k_easy	gsm8k_easy													
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	7	Decontamination & parser probe	decontamination_notes	1	1	ok	gsm8k-train-slice	gsm8k-train-slice												0	0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	1	Loss form	loss_form	1	1	ok	n/a-sampling	n/a-sampling	0	0	0	0	0								
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	2	Reference policy & KL	ref_policy_kl	1	0	info	n/a	empty-or-na value='n/a'						0	0	0					
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	3	Sampler / backend / precision	sampler_backend_precision	1	1	ok	tinker-closed	tinker-closed									1	0	0		
