group_size	step	prompt_id	reward	length
4	0	0	1.0	260.0
4	0	0	1.0	266.0
4	0	0	1.0	247.0
4	0	0	1.0	264.0
4	0	1	1.0	458.0
4	0	1	0.0	512.0
4	0	1	1.0	397.0
4	0	1	1.0	512.0
4	0	2	1.0	335.0
4	0	2	1.0	367.0
4	0	2	1.0	308.0
4	0	2	1.0	368.0
4	0	3	1.0	316.0
4	0	3	1.0	315.0
4	0	3	1.0	338.0
4	0	3	1.0	218.0
4	0	4	1.0	373.0
4	0	4	1.0	475.0
4	0	4	1.0	432.0
4	0	4	0.0	512.0
4	0	5	1.0	246.0
4	0	5	1.0	244.0
4	0	5	1.0	240.0
4	0	5	1.0	230.0
4	0	6	1.0	268.0
4	0	6	1.0	297.0
4	0	6	1.0	274.0
4	0	6	1.0	299.0
4	0	7	1.0	433.0
4	0	7	1.0	371.0
4	0	7	1.0	389.0
4	0	7	1.0	392.0
4	0	8	1.0	198.0
4	0	8	1.0	176.0
4	0	8	1.0	198.0
4	0	8	1.0	178.0
4	0	9	0.0	512.0
4	0	9	0.0	512.0
4	0	9	0.0	512.0
4	0	9	0.0	512.0
4	0	10	1.0	271.0
4	0	10	1.0	512.0
4	0	10	1.0	415.0
4	0	10	0.0	512.0
4	0	11	0.0	512.0
4	0	11	1.0	416.0
4	0	11	1.0	451.0
4	0	11	0.0	512.0
4	0	12	1.0	373.0
4	0	12	1.0	380.0
4	0	12	1.0	347.0
4	0	12	1.0	341.0
4	0	13	1.0	231.0
4	0	13	1.0	257.0
4	0	13	1.0	241.0
4	0	13	1.0	300.0
4	0	14	0.0	512.0
4	0	14	0.0	512.0
4	0	14	0.0	512.0
4	0	14	0.0	512.0
4	0	15	1.0	318.0
4	0	15	1.0	274.0
4	0	15	1.0	308.0
4	0	15	1.0	298.0
4	1	16	1.0	493.0
4	1	16	1.0	500.0
4	1	16	1.0	499.0
4	1	16	1.0	512.0
4	1	17	1.0	512.0
4	1	17	0.0	512.0
4	1	17	0.0	512.0
4	1	17	0.0	512.0
4	1	18	0.0	512.0
4	1	18	1.0	492.0
4	1	18	0.0	512.0
4	1	18	0.0	512.0
4	1	19	1.0	237.0
4	1	19	1.0	263.0
4	1	19	1.0	250.0
4	1	19	1.0	233.0
4	1	20	1.0	250.0
4	1	20	1.0	236.0
4	1	20	1.0	285.0
4	1	20	1.0	210.0
4	1	21	1.0	233.0
4	1	21	1.0	288.0
4	1	21	1.0	294.0
4	1	21	1.0	252.0
4	1	22	1.0	389.0
4	1	22	1.0	389.0
4	1	22	1.0	293.0
4	1	22	1.0	363.0
4	1	23	1.0	291.0
4	1	23	1.0	300.0
4	1	23	1.0	281.0
4	1	23	1.0	279.0
4	1	24	1.0	320.0
4	1	24	1.0	338.0
4	1	24	1.0	322.0
4	1	24	1.0	318.0
4	1	25	1.0	512.0
4	1	25	1.0	473.0
4	1	25	0.0	512.0
4	1	25	0.0	512.0
4	1	26	1.0	341.0
4	1	26	1.0	268.0
4	1	26	1.0	319.0
4	1	26	1.0	271.0
4	1	27	1.0	245.0
4	1	27	1.0	230.0
4	1	27	1.0	221.0
4	1	27	1.0	228.0
4	1	28	1.0	196.0
4	1	28	1.0	203.0
4	1	28	1.0	204.0
4	1	28	1.0	203.0
4	1	29	1.0	381.0
4	1	29	1.0	406.0
4	1	29	1.0	377.0
4	1	29	1.0	453.0
4	1	30	1.0	289.0
4	1	30	1.0	273.0
4	1	30	1.0	283.0
4	1	30	1.0	252.0
4	1	31	0.0	512.0
4	1	31	0.0	512.0
4	1	31	0.0	512.0
4	1	31	0.0	512.0
4	2	32	1.0	472.0
4	2	32	1.0	512.0
4	2	32	1.0	477.0
4	2	32	1.0	482.0
4	2	33	1.0	386.0
4	2	33	1.0	293.0
4	2	33	1.0	354.0
4	2	33	1.0	429.0
4	2	34	1.0	414.0
4	2	34	1.0	418.0
4	2	34	1.0	449.0
4	2	34	1.0	398.0
4	2	35	1.0	390.0
4	2	35	1.0	454.0
4	2	35	1.0	400.0
4	2	35	1.0	402.0
4	2	36	1.0	512.0
4	2	36	1.0	512.0
4	2	36	0.0	512.0
4	2	36	1.0	484.0
4	2	37	1.0	488.0
4	2	37	1.0	375.0
4	2	37	1.0	499.0
4	2	37	0.0	512.0
4	2	38	0.0	227.0
4	2	38	0.0	227.0
4	2	38	1.0	389.0
