cell_id	score	model_pts	task_pts	G_pts	temp_pts	seed_pts	decontam_pts	model_sev	task_sev	G_sev	temp_sev	seed_sev	decontam_sev
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	100.0	16.67	16.67	16.67	16.67	16.67	16.67	match	match	match	match	match	declared_recognised_class
