stack_id	framework	delta_id	component	status	target_exists	verdict
colab-open_dapo_e3	colab-open-trainer	delta_dapo	clip_higher	implemented	True	OK
colab-open_dapo_e3	colab-open-trainer	delta_dapo	dynamic_sampling	implemented	True	OK
colab-open_dapo_e3	colab-open-trainer	delta_dapo	token_level_loss	implemented	True	OK
colab-open_dapo_e3	colab-open-trainer	delta_dapo	overlong_reward_shaping	absent	True	OK
colab-open_dapo_e3	colab-open-trainer	delta_dapo	kl_removed	implemented	True	OK
colab-open_drgrpo_e3	colab-open-trainer	delta_drgrpo	length_normalization	implemented	True	OK
colab-open_drgrpo_e3	colab-open-trainer	delta_drgrpo	advantage_std_normalization	implemented	True	OK
colab-open_grpo-adaptiveg_e3	colab-open-trainer	delta_adaptiveg	zvf_driven_group_size_ladder	implemented	True	OK
tinker_aero_qwen3.5-4b_gsm8k	tinker	delta_aero	advantage_guided_evolution	implemented	True	OK
tinker_areal_qwen3.5-4b_gsm8k	tinker	delta_areal	autoscaling_Rollout	implemented	True	OK
tinker_dapo_qwen3.5-4b_gsm8k	tinker	delta_dapo	clip_higher	surrogate	True	OK
tinker_dapo_qwen3.5-4b_gsm8k	tinker	delta_dapo	dynamic_sampling	absent	True	OK
tinker_dapo_qwen3.5-4b_gsm8k	tinker	delta_dapo	token_level_loss	unknown	True	OK
tinker_dapo_qwen3.5-4b_gsm8k	tinker	delta_dapo	overlong_reward_shaping	absent	True	OK
tinker_dapo_qwen3.5-4b_gsm8k	tinker	delta_dapo	kl_removed	unknown	True	OK
tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	delta_drgrpo	length_normalization	surrogate	True	OK
tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	delta_drgrpo	advantage_std_normalization	surrogate	True	OK
tinker_gift_qwen3.5-4b_gsm8k	tinker	delta_gift	gamma_likelihood_baseline	implemented	True	OK
tinker_gspo_qwen3.5-4b_gsm8k	tinker	delta_gspo	sequence_level_ratio	surrogate	True	OK
tinker_gspo_qwen3.5-4b_gsm8k	tinker	delta_gspo	sequence_level_clip	unknown	True	OK
zvf130_cppo	worktree-zvf130-batch	delta_cppo	continuity_penalty	unknown	True	OK
zvf130_es	worktree-zvf130-batch	delta_es	black_box_perturbation	unknown	True	OK
zvf130_mcgrpo	worktree-zvf130-batch	delta_mcgrpo	mcts_rollout	unknown	True	OK
zvf130_mcgrpo	worktree-zvf130-batch	delta_mcgrpo	per_prompt_diversity_bonus	unknown	True	OK
zvf130_ngrpo	worktree-zvf130-batch	delta_ngrpo	per_prompt_normalization	unknown	True	OK
zvf130_scafgrpo	worktree-zvf130-batch	delta_scafgrpo	scaffold_aware_advantage	unknown	True	OK
