model	params_B	arch	n_steps	peak_step	m1	m2	m3	peak_late	slow_start	has_mid_peak	plateau	n_phases_matched	pci
Qwen3.5-4B	4.0	dense	30	1	-0.03409	-0.03788	0.02879	False	False	False	False	0	0.250
Qwen3-8B	8.0	dense	30	13	-0.02311	-0.01705	0.00568	False	False	False	True	1	1.561
Llama-3.1-8B-Instruct	8.0	dense	30	1	-0.00909	-0.02348	0.02917	False	True	False	False	1	1.523
Qwen3-32B	32.0	dense	3	1	nan	nan	nan	False	False	False	False	0	0.000
Qwen3.5-27B	27.0	dense	3	2	nan	nan	nan	False	False	False	False	0	0.000
gpt-oss-20B	20.0	moe	30	3	-0.00341	-0.01212	0.02879	False	True	False	False	1	1.665
Qwen3-30B-MoE	30.0	moe	5	4	nan	nan	nan	False	False	False	False	0	0.000
Qwen3-30B-MoE-Inst	30.0	moe	3	1	nan	nan	nan	False	False	False	False	0	0.000
DeepSeek-V3.1	685.0	moe	20	3	-0.03571	0.04464	0.00446	False	False	False	True	1	1.351
Nemotron-120B	120.0	dense	20	3	-0.02500	-0.04018	0.07143	False	False	False	False	0	0.250
Qwen3-235B-MoE	235.0	moe	4	1	nan	nan	nan	False	False	False	False	0	0.000
Kimi-K2-Thinking	1000.0	moe	20	1	-0.01071	0.03571	0.04018	False	True	False	False	1	1.232
