field	cell_id	declared	recomputed	abs_residual	pass01
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	0.875000	0.875000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	0.812500	0.812500	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	0.812500	0.812500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	0.843750	0.843750	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	0.843750	0.843750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	0.890625	0.890625	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	0.937500	0.937500	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	0.843750	0.843750	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	0.500000	0.500000	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	0.827148	0.827148	0.000000	1
n_groups	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	32.000000	32.000000	0.000000	1
zvf	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	0.468750	0.468750	0.000000	1
mean_reward	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	0.734375	0.734375	0.000000	1
